"","scenario","run","realyear","country","catchmentID","unpruned","pruned","averted","cum_vacc","cum_totvacc","cum_totaver_spillover","vaccinated_infected","spillover","h2h"
"218",1,"run29",8,"Nigeria","NGA.12_1",30786,30786,0,55.2888,442.3932,0,442.3932,28852,1934
"219",1,"run29",9,"Nigeria","NGA.12_1",30769,30769,0,55.179,497.5722,0,497.5722,28852,1917
"220",1,"run29",10,"Nigeria","NGA.12_1",30784,30784,0,55.2708,552.843,0,552.843,28852,1932
"221",1,"run3",1,"Nigeria","NGA.12_1",25832,25832,0,46.269,46.269,0,46.269,24238,1594
"222",1,"run3",2,"Nigeria","NGA.12_1",25877,25877,0,46.458,92.727,0,92.727,24238,1639
"223",1,"run3",3,"Nigeria","NGA.12_1",25790,25790,0,46.278,139.005,0,139.005,24238,1552
"224",1,"run3",4,"Nigeria","NGA.12_1",25858,25858,0,46.4688,185.4738,0,185.4738,24238,1620
"225",1,"run3",5,"Nigeria","NGA.12_1",25847,25847,0,46.4346,231.9084,0,231.9084,24238,1609
"226",1,"run3",6,"Nigeria","NGA.12_1",25878,25878,0,46.3662,278.2746,0,278.2746,24238,1640
"227",1,"run3",7,"Nigeria","NGA.12_1",25884,25884,0,46.323,324.5976,0,324.5976,24238,1646
"228",1,"run3",8,"Nigeria","NGA.12_1",25852,25852,0,46.4184,371.016,0,371.016,24238,1614
"229",1,"run3",9,"Nigeria","NGA.12_1",25953,25953,0,46.5822,417.5982,0,417.5982,24238,1715
"230",1,"run3",10,"Nigeria","NGA.12_1",25933,25933,0,46.6074,464.2056,0,464.2056,24238,1695
"231",1,"run30",1,"Nigeria","NGA.12_1",30859,30859,0,55.3914,55.3914,0,55.3914,28951,1908
"232",1,"run30",2,"Nigeria","NGA.12_1",30931,30931,0,55.6128,111.0042,0,111.0042,28951,1980
"233",1,"run30",3,"Nigeria","NGA.12_1",30811,30811,0,55.2798,166.284,0,166.284,28951,1860
"234",1,"run30",4,"Nigeria","NGA.12_1",30940,30940,0,55.5084,221.7924,0,221.7924,28951,1989
"235",1,"run30",5,"Nigeria","NGA.12_1",30903,30903,0,55.4652,277.2576,0,277.2576,28951,1952
"236",1,"run30",6,"Nigeria","NGA.12_1",30912,30912,0,55.4886,332.7462,0,332.7462,28951,1961
"237",1,"run30",7,"Nigeria","NGA.12_1",30826,30826,0,55.341,388.0872,0,388.0872,28951,1875
"238",1,"run30",8,"Nigeria","NGA.12_1",30848,30848,0,55.2276,443.3148,0,443.3148,28951,1897
"239",1,"run30",9,"Nigeria","NGA.12_1",30905,30905,0,55.5822,498.897,0,498.897,28951,1954
"240",1,"run30",10,"Nigeria","NGA.12_1",30919,30919,0,55.4922,554.3892,0,554.3892,28951,1968
